Code,Description
GBABD001,Aberdeen Ruby House
GBAVO001,Avonmouth Custom House
GBBTH001,Bathgate Pyramids Business Centre
GBBEL001,Belfast Beaufort House
GBBEL002,Belfast Carne House
GBBEL003,Belfast Custom House
GBBEL004,Belfast Dorchester House (NIRU)
GBBHM001,Birmingham 2 Broadway
GBBHM002,Birmingham City Centre House
GBBLB001,Blackburn Chaucers Walk
GBBLT001,Bolton Stonecross House
GBBOE001,Bootle Litherland House
GBBOE002,Bootle St. John's House
GBBOE003,Bootle St. John's House
GBBOH001,Bournemouth Holland House
GBBRD001,Bradford Centenary Court
GBBRD002,Bradford No.1 The Interchange
GBRIH001,Brierley Hill Merry Hill Contact Centre
GBBSH001,Brighton Crown House
GBBRS001,Bristol 101 Victoria Street
GBBRS002,Bristol Temple Quay House
GBBRS003,Bristol The Crescent centre
GBCMG001,Cambridge Eastbrook
GBCNB001,Canterbury Charter House (re Sun Alliance House)
GBCDF001,Cardiff Brunel House
GBCDF002,Cardiff Ty Glas
GBCVT001,Coventry Sherbourne House
GBCRG001,Craigavon Marlborough House
GBCWY001,Crawley Origin One
GBCRO001,Croydon 1 Ruskin Square
GBCRO002,Croydon Southern House
GBCLD001,Cumbernauld Accounts Office
GBDXY001,Derby Northgate House
GBDVR001,Dover Priory Court
GBDUN001,Dundee Caledonian House
GBDUN002,Dundee Sidlaw House
GBEKB001,East Kilbride Plaza Tower
GBEKB002,East Kilbride Queensway House
GBEDI001,Edinburgh Elgin House
GBEDI002,Edinburgh Grayfield House
GBEDI003,Edinburgh Meldrum House
GBENK001,Enniskillen Abbey House
GBERI001,Erith Chaucer House
GBEXE001,Exeter Longbrook House
GBGTC001,Gartcosh Scottish Crime Campus
GBGLW001,Glasgow Cotton House
GBGLW002,Glasgow Portcullis House
GBGLO001,Gloucester Twyver House
GBGVS001,Gravesend Custom House
GBGSY001,Grimsby Imperial House
GBHRW001,Harwich Custom House
GBHUL001,Hull Cherry Court
GBHUL002,Hull Custom House
GBINV001,Inverness River House
GBIPS001,Ipswich Haven House
GBIPS002,Ipswich St Clare House
GBLBA001,Leeds Peter Bennett House (Customs Authorisations & Reviews Team)
GBLBA002,Leeds 1 Munroe Court
GBLBA003,Leeds Castle House
GBLBA004,Leeds Windsor House
GBLCS001,Leicester Saxon House
GBLCN001,Lincoln Lawress Hall
GBLIS001,Lisburn Moira House
GBLIV001,Liverpool Graeme House
GBLIV002,Liverpool Imperial Court
GBLIV003,Liverpool Regian House
GBTON001,Livingston Barbara Ritchie House
GBLON001,London 10 South Colonnade
GBLON002,London 100 Parliament Street
GBLON003,London Bush House
GBLON004,London Custom House
GBLON005,London Custom House Annexe
GBLON006,London Dorset House
GBLON007,London Euston Tower
GBLON008,London International House
GBLON009,London Jubilee House
GBLDY001,Londonderry Foyle House
GBLUT001,Luton King House
GBMDT001,Maidstone Medvale House
GBMNC001,Manchester Albert Bridge House
GBMNC002,Manchester Manchester Airport
GBMID001,Middlesbrough 100 Russell Street
GBMID002,Middlesbrough Eustace House
GBNTE001,Netherton Comben House
GBNCL001,Newcastle Benton Park View
GBNCL002,Newcastle Block D Tyneview Park
GBNHP001,Northampton Princess House
GBNTG001,Nottingham Barkley House
GBNTG002,Nottingham Castle Meadow Campus
GBNTG003,Nottingham Ferrers House
GBNTG004,Nottingham FitzRoy House (AEO Central Site)
GBNTG005,Nottingham Howard House
GBNTG006,Nottingham Yorke House
GBOXF001,Oxford Trinity House
GBPET001,Peterborough Churchgate
GBPET002,Peterborough Peterborough (Woodston) Storage Centre
GBPTE001,Peterlee Emerald Court
GBPTD001,Porthmadog Ty Moelwyn
GBPME001,Portsmouth Lynx House
GBPME002,Portsmouth Wingfield House
GBPRE001,Preston Charles House
GBPRE002,Preston Diadem House
GBPRE003,Preston St Mark's House
GBPRE004,Preston St Mary's House
GBPRE005,Preston The Guild Centre
GBPRE006,Preston Unicentre
GBRDN001,Reading Sapphire Plaza
GBREH001,Redhill Warwick House
GBRRU001,Redruth Piran House
GBSFY001,Salford Ralli Quays (NTAS)
GBSFY002,Salford Trinity Bridge House
GBSHE001,Sheffield Concept House
GBSHI001,Shipley Accounts Office
GBSOL001,Solihull Regent House
GBSOL002,Solihull Royal House
GBSOL003,Solihull Sapphire East
GBSOU001,Southampton Compass House
GBSAA001,Southend on Sea Alexander House
GBSHY001,St Helens College Street
GBSTS001,Staines Forum House
GBSTS002,Staines Heliting House
GBSTT001,Stockton-on-Tees George Stephenson House
GBSOT001,Stoke-on-Trent Blackburn House
GBSUN001,Sunderland Waterside House
GBSUR001,Surbiton Tolworth Tower
GBSWA001,Swansea Ty Nant
GBSNN001,Swindon Wiltshire Court
GBTEF001,Telford Abbey House
GBTEF002,Telford Parkside Court
GBTEF003,Telford Plaza 2 - Floor 2
GBUXB001,Uxbridge Valiant House
GBWRN001,Warrington Mersey Bank House
GBWNN001,Washington Waterview Park
GBWAF001,Watford Cambridge House
GBWBY001,Wembley Olympic House
GBWKG001,Woking Dukes Court
GBWOV001,Wolverhampton Crown House
GBWTR001,Worcester County Hall
GBWOR001,Workington West Cumbria House
GBWOT001,Worthing Durrington Bridge House
GBWOT002,Worthing HMRC Barrington Road
GBWXH001,Wrexham Plas Gororau
GBYRK001,York Swinson House